period,current,average,efficient
2024-03-31 16:00:00,0.095,,
2024-03-31 16:30:00,0.096,,
2024-03-31 17:00:00,0.135,,
2024-03-31 17:30:00,0.169,,
2024-03-31 18:00:00,0.15,,
2024-03-31 18:30:00,0.263,,
2024-03-31 19:00:00,0.273,,
2024-03-31 19:30:00,0.139,,
2024-03-31 20:00:00,0.134,,
2024-03-31 20:30:00,0.132,,
2024-03-31 21:00:00,0.873,,
2024-03-31 21:30:00,0.193,,
2024-03-31 22:00:00,0.458,,
2024-03-31 22:30:00,0.165,,
2024-03-31 23:00:00,1.476,,
2024-03-31 23:30:00,0.86,,
2024-03-30 00:00:00,0.454,,
2024-03-30 00:30:00,0.218,,
2024-03-30 01:00:00,0.201,,
2024-03-30 01:30:00,0.187,,
2024-03-30 02:00:00,0.174,,
2024-03-30 02:30:00,0.174,,
2024-03-30 03:00:00,0.229,,
2024-03-30 03:30:00,0.228,,
2024-03-30 04:00:00,0.275,,
2024-03-30 04:30:00,0.245,,
2024-03-30 05:00:00,0.183,,
2024-03-30 05:30:00,0.211,,
2024-03-30 06:00:00,0.212,,
2024-03-30 06:30:00,0.171,,
2024-03-30 07:00:00,0.168,,
2024-03-30 07:30:00,0.162,,
2024-03-30 08:00:00,0.154,,
2024-03-30 08:30:00,0.159,,
2024-03-30 09:00:00,0.154,,
2024-03-30 09:30:00,0.523,,
2024-03-30 10:00:00,0.119,,
2024-03-30 10:30:00,0.148,,
2024-03-30 11:00:00,0.145,,
2024-03-30 11:30:00,0.139,,
2024-03-30 12:00:00,0.145,,
2024-03-30 12:30:00,0.168,,
2024-03-30 13:00:00,0.147,,
2024-03-30 13:30:00,0.168,,
2024-03-30 14:00:00,0.212,,
2024-03-30 14:30:00,0.138,,
2024-03-30 15:00:00,0.142,,
2024-03-30 15:30:00,0.137,,
2024-03-30 16:00:00,0.138,,
2024-03-30 16:30:00,0.156,,
2024-03-30 17:00:00,0.157,,
2024-03-30 17:30:00,0.165,,
2024-03-30 18:00:00,0.159,,
2024-03-30 18:30:00,0.124,,
2024-03-30 19:00:00,0.151,,
2024-03-30 19:30:00,0.084,,
2024-03-30 20:00:00,0.086,,
2024-03-30 20:30:00,0.317,,
2024-03-30 21:00:00,1.022,,
2024-03-30 21:30:00,0.154,,
2024-03-30 22:00:00,0.139,,
2024-03-30 22:30:00,0.14,,
2024-03-30 23:00:00,0.152,,
2024-03-30 23:30:00,0.184,,
2024-03-29 00:00:00,0.161,,
2024-03-29 00:30:00,0.198,,
2024-03-29 01:00:00,0.223,,
2024-03-29 01:30:00,0.195,,
2024-03-29 02:00:00,0.187,,
2024-03-29 02:30:00,0.188,,
2024-03-29 03:00:00,0.184,,
2024-03-29 03:30:00,0.191,,
2024-03-29 04:00:00,0.236,,
2024-03-29 04:30:00,0.194,,
2024-03-29 05:00:00,0.192,,
2024-03-29 05:30:00,0.152,,
2024-03-29 06:00:00,0.144,,
2024-03-29 06:30:00,0.14,,
2024-03-29 07:00:00,0.14,,
2024-03-29 07:30:00,0.129,,
2024-03-29 08:00:00,0.13,,
2024-03-29 08:30:00,0.128,,
2024-03-29 09:00:00,0.128,,
2024-03-29 09:30:00,0.127,,
2024-03-29 10:00:00,0.128,,
2024-03-29 10:30:00,0.127,,
2024-03-29 11:00:00,0.127,,
2024-03-29 11:30:00,0.16,,
2024-03-29 12:00:00,0.157,,
